"seqnames" "start" "end" "width" "strand" "value_pos" "peak" "feature" "feature.ranges.start" "feature.ranges.end" "feature.ranges.width" "feature.strand" "distance" "insideFeature" "distanceToSite" "gene_name"
"chrX" 8769269 8769701 433 "*" 0.637233530260245 "X18" "ENSG00000183304" 8758836 8769424 10589 "-" 0 "overlapStart" 0 "FAM9A"
"chrX" 103499335 103500137 803 "*" 0.536805876319152 "X19" "ENSG00000123576" 103494719 103499614 4896 "-" 0 "overlapStart" 0 "ESX1"
"chrX" 3264341 3265404 1064 "*" 0.524061211654413 "X20" "ENSG00000101825" 3226606 3264682 38077 "-" 0 "overlapStart" 0 "MXRA5"
"chrX" 149106299 149107029 731 "*" 0.520439166854945 "X21" "ENSG00000235703" 149106846 149392815 285970 "+" 0 "overlapStart" 0 "LINC00894"
"chrX" 149106299 149107029 731 "*" 0.520439166854945 "X21" "ENSG00000197021" 149097745 149107029 9285 "-" 0 "inside" 0 "CXorf40B"
"chrX" 119005413 119006122 710 "*" 0.520254162642567 "X22" "ENSG00000125356" 119005450 119010625 5176 "+" 0 "overlapStart" 0 "NDUFA1"
"chrX" 119005413 119006122 710 "*" 0.520254162642567 "X22" "ENSG00000125352" 119004497 119005791 1295 "-" 0 "overlapStart" 0 "RNF113A"
"chrX" 46404528 46405125 598 "*" 0.519315463386635 "X23" "ENSG00000251192" 46357162 46404892 47731 "-" 0 "overlapStart" 0 "ZNF674"
"chrX" 46404528 46405125 598 "*" 0.519315463386635 "X23" "ENSG00000230844" 46404928 46407843 2916 "+" 0 "overlapStart" 0 "ZNF674-AS1"
"chrX" 55187242 55188047 806 "*" 0.519310382011855 "X24" "ENSG00000182518" 55169535 55187743 18209 "-" 0 "overlapStart" 0 "FAM104B"
"chrX" 130191788 130192812 1025 "*" 0.558689260212616 "X25" "ENSG00000228659" 130115564 130192120 76557 "-" 0 "overlapStart" 0 "RP1-23K20.2"
"chrX" 130191788 130192812 1025 "*" 0.558689260212616 "X25" "ENSG00000147256" 130192216 130223857 31642 "+" 0 "overlapStart" 0 "ARHGAP36"
"chrX" 100877938 100879169 1232 "*" 0.517496027867357 "X26" "ENSG00000198960" 100870110 100872991 2882 "-" 4946 "upstream" 4946 "ARMCX6"
"chrX" 100877938 100879169 1232 "*" 0.517496027867357 "X26" "ENSG00000102401" 100877787 100882833 5047 "+" 0 "inside" 150 "ARMCX3"
"chrX" 100877938 100879169 1232 "*" 0.517496027867357 "X26" "ENSG00000261101" 100882858 100883508 651 "+" 3688 "upstream" 3688 "RP4-545K15.5"
"chrX" 100877938 100879169 1232 "*" 0.517496027867357 "X26" "ENSG00000228275" 100877973 100879154 1182 "-" 0 "includeFeature" 0 "ARMCX3-AS1"
"chrX" 25033767 25034688 922 "*" 0.599382741075335 "X27" "ENSG00000004848" 25021811 25034065 12255 "-" 0 "overlapStart" 0 "ARX"
"chrX" 31089464 31090380 917 "*" 0.638015910631672 "X29" "ENSG00000132446" 31089360 31090170 811 "-" 0 "overlapStart" 0 "FTHL17"
"chrX" 48397520 48398133 614 "*" 0.538228883777842 "X30" "ENSG00000068354" 48397845 48420997 23153 "+" 0 "overlapStart" 0 "TBC1D25"
"chrX" 17754811 17756060 1250 "*" 0.52930192523572 "X31" "ENSG00000047634" 17755588 17773105 17518 "+" 0 "overlapStart" 0 "SCML1"
"chrX" 101853857 101854594 738 "*" 0.52579488195781 "X32" "ENSG00000125962" 101854096 101859087 4992 "+" 0 "overlapStart" 0 "ARMCX5"
"chrX" 101853857 101854594 738 "*" 0.52579488195781 "X32" "ENSG00000271147" 101854440 101969599 115160 "+" 0 "overlapStart" 0 "RP4-769N13.6"
"chrX" 131156970 131157704 735 "*" 0.524694582380795 "X33" "ENSG00000134602" 131157293 131209971 52679 "+" 0 "overlapStart" 0 "MST4"
"chrX" 118707913 118708830 918 "*" 0.524526175876198 "X34" "ENSG00000077721" 118708501 118718381 9881 "+" 0 "overlapStart" 0 "UBE2A"
"chrX" 135578793 135579487 695 "*" 0.522058765983522 "X35" "ENSG00000102241" 135579238 135594505 15268 "+" 0 "overlapStart" 0 "HTATSF1"
"chrX" 54556330 54557002 673 "*" 0.521342571087526 "X36" "ENSG00000130119" 54556644 54587504 30861 "+" 0 "overlapStart" 0 "GNL3L"
"chrX" 56589768 56590537 770 "*" 0.521322191419667 "X37" "ENSG00000188021" 56590026 56593443 3418 "+" 0 "overlapStart" 0 "UBQLN2"
"chrX" 46306111 46306863 753 "*" 0.521036444455543 "X38" "ENSG00000147121" 46306292 46356857 50566 "+" 0 "overlapStart" 0 "KRBOX4"
"chrX" 118284520 118285064 545 "*" 0.613072071127598 "X40" "ENSG00000250423" 118212598 118284542 71945 "-" 0 "overlapStart" 0 "KIAA1210"
"chrX" 47420179 47420742 564 "*" 0.517017794973699 "X41" "ENSG00000078061" 47420516 47431307 10792 "+" 0 "overlapStart" 0 "ARAF"
"chrX" 48334240 48335010 771 "*" 0.516769060610974 "X42" "ENSG00000068438" 48334541 48344752 10212 "+" 0 "overlapStart" 0 "FTSJ1"
"chrX" 106361500 106362429 930 "*" 0.516318852418399 "X43" "ENSG00000089682" 106307650 106362057 54408 "-" 0 "overlapStart" 0 "RBM41"
"chrX" 106449457 106449944 488 "*" 0.554432734798508 "X44" "ENSG00000198088" 106366657 106449670 83014 "-" 0 "overlapStart" 0 "NUP62CL"
"chrX" 106449457 106449944 488 "*" 0.554432734798508 "X44" "ENSG00000080572" 106449862 106487473 37612 "+" 0 "overlapStart" 0 "PIH1D3"
"chrX" 71526790 71527298 509 "*" 0.505160988293445 "X45" "ENSG00000125931" 71521488 71527037 5550 "-" 0 "overlapStart" 0 "CITED1"
"chrX" 102469720 102470643 924 "*" 0.542368213369357 "X46" "ENSG00000102409" 102470020 102472174 2155 "+" 0 "overlapStart" 0 "BEX4"
"chrX" 69501565 69502085 521 "*" 0.650429374360615 "X47" "ENSG00000147127" 69501943 69504852 2910 "+" 0 "overlapStart" 0 "RAB41"
"chrX" 30327423 30327819 397 "*" 0.541057584052082 "X48" "ENSG00000169297" 30322323 30327715 5393 "-" 0 "overlapStart" 0 "NR0B1"
"chrX" 83757131 83757894 764 "*" 0.535288244738395 "X51" "ENSG00000165259" 83572882 83757487 184606 "-" 0 "overlapStart" 0 "HDX"
"chrX" 83757131 83757894 764 "*" 0.535288244738395 "X51" "ENSG00000259640" 83755033 83757461 2429 "-" 0 "overlapStart" 0 "RP6-33F8.1"
"chrX" 136113605 136114207 603 "*" 0.530399048037605 "X52" "ENSG00000165370" 136112307 136113833 1527 "-" 0 "overlapStart" 0 "GPR101"
"chrX" 38079661 38080608 948 "*" 0.528459142796495 "X53" "ENSG00000226679" 38080644 38082920 2277 "+" 35 "upstream" 35 "RP13-43E11.1"
"chrX" 38079661 38080608 948 "*" 0.528459142796495 "X53" "ENSG00000101955" 38008589 38080696 72108 "-" 0 "inside" 87 "SRPX"
"chrX" 55101289 55101639 351 "*" 0.631952744937486 "X54" "ENSG00000238269" 55101496 55105342 3847 "+" 0 "overlapStart" 0 "PAGE2B"
"chrX" 23017656 23018130 475 "*" 0.631616542272182 "X55" "ENSG00000184735" 23018087 23020204 2118 "+" 0 "overlapStart" 0 "DDX53"
"chrX" 150151572 150151823 252 "*" 0.524923685370709 "X56" "ENSG00000029993" 150148982 150159248 10267 "+" 0 "inside" 2589 "HMGB3"
"chrX" 15353254 15354150 897 "*" 0.523235495337638 "X57" "ENSG00000165195" 15337573 15353676 16104 "-" 0 "overlapStart" 0 "PIGA"
"chrX" 15353254 15354150 897 "*" 0.523235495337638 "X57" "LRG_160" 15337573 15353676 16104 "-" 0 "overlapStart" 0 "LRG_160"
"chrX" 38662707 38663490 784 "*" 0.522512687864673 "X58" "ENSG00000165175" 38660685 38665790 5106 "+" 0 "inside" 2021 "MID1IP1"
"chrX" 38662707 38663490 784 "*" 0.522512687864673 "X58" "ENSG00000238123" 38660821 38663136 2316 "-" 0 "overlapStart" 0 "MID1IP1-AS1"
"chrX" 23925746 23926332 587 "*" 0.522385348089141 "X60" "ENSG00000165182" 23925918 23957624 31707 "+" 0 "overlapStart" 0 "CXorf58"
"chrX" 23925746 23926332 587 "*" 0.522385348089141 "X60" "ENSG00000184831" 23851470 23926057 74588 "-" 0 "overlapStart" 0 "APOO"
"chrX" 151999239 151999825 587 "*" 0.521679118779629 "X61" "ENSG00000147383" 151999511 152038273 38763 "+" 0 "overlapStart" 0 "NSDHL"
"chrX" 151999239 151999825 587 "*" 0.521679118779629 "X61" "ENSG00000147400" 151995517 151999321 3805 "-" 0 "overlapStart" 0 "CETN2"
"chrX" 66763009 66763691 683 "*" 0.568959408552018 "X62" "ENSG00000169083" 66764465 66950461 185997 "+" 773 "upstream" 773 "AR"
"chrX" 48931388 48932122 735 "*" 0.52089156131608 "X63" "ENSG00000243279" 48928813 48931730 2918 "-" 0 "overlapStart" 0 "PRAF2"
"chrX" 38186399 38187196 798 "*" 0.52059426146878 "X64" "ENSG00000156313" 38128416 38186817 58402 "-" 0 "overlapStart" 0 "RPGR"
"chrX" 122993679 122994071 393 "*" 0.520127471309792 "X65" "ENSG00000101966" 122993574 123047829 54256 "+" 0 "inside" 104 "XIAP"
"chrX" 122993679 122994071 393 "*" 0.520127471309792 "X65" "LRG_19" 122994017 123047829 53813 "+" 0 "overlapStart" 0 "LRG_19"
"chrX" 122993679 122994071 393 "*" 0.520127471309792 "X65" "ENSG00000199705" 122990912 122991013 102 "-" 2665 "upstream" 2665 "Y_RNA"
"chrX" 30671090 30671787 698 "*" 0.519796107848777 "X66" "ENSG00000198814" 30671476 30748725 77250 "+" 0 "overlapStart" 0 "GK"
"chrX" 70288026 70288735 710 "*" 0.519521666691998 "X67" "ENSG00000147164" 70279094 70288273 9180 "-" 0 "overlapStart" 0 "SNX12"
"chrX" 48957963 48958509 547 "*" 0.519088897981535 "X68" "ENSG00000196998" 48929385 48958108 28724 "-" 0 "overlapStart" 0 "WDR45"
"chrX" 69509542 69510172 631 "*" 0.519038545231112 "X69" "ENSG00000090889" 69509879 69640682 130804 "+" 0 "overlapStart" 0 "KIF4A"
"chrX" 69509542 69510172 631 "*" 0.519038545231112 "X69" "ENSG00000120509" 69506445 69510364 3920 "-" 0 "inside" 191 "PDZD11"
"chrX" 64754624 64754995 372 "*" 0.517732336689792 "X70" "ENSG00000001497" 64732462 64754655 22194 "-" 0 "overlapStart" 0 "LAS1L"
"chrX" 100306566 100307293 728 "*" 0.515500969085923 "X71" "ENSG00000188917" 100264335 100307105 42771 "-" 0 "overlapStart" 0 "TRMT2B"
"chrX" 47695789 47696603 815 "*" 0.51159371175355 "X73" "ENSG00000197779" 47696301 47861960 165660 "+" 0 "overlapStart" 0 "ZNF81"
"chrX" 47049948 47050480 533 "*" 0.504864817389069 "X74" "ENSG00000130985" 47050260 47074527 24268 "+" 0 "overlapStart" 0 "UBA1"
"chrX" 26575822 26576480 659 "*" 0.603900216452131 "X75" "ENSG00000230265" 26575792 26576447 656 "+" 0 "overlapEnd" 29 "RP11-702C7.1"
"chrX" 26575822 26576480 659 "*" 0.603900216452131 "X75" "ENSG00000259849" 26576454 26579169 2716 "+" 0 "overlapStart" 0 "VENTXP1"
"chrX" 21676344 21677134 791 "*" 0.596333000884281 "X76" "ENSG00000185915" 21673609 21676448 2840 "-" 0 "overlapStart" 0 "KLHL34"
"chrY" 22737391 22738029 639 "*" 0.537720519820204 "X78" "ENSG00000198692" 22737611 22755040 17430 "+" 0 "overlapStart" 0 "EIF1AY"
"chrX" 154254814 154255265 452 "*" 0.536787802808996 "X79" "ENSG00000165775" 154254255 154288578 34324 "+" 0 "inside" 558 "FUNDC2"
"chrX" 154254814 154255265 452 "*" 0.536787802808996 "X79" "ENSG00000185010" 154064063 154255215 191153 "-" 0 "overlapStart" 0 "F8"
"chrX" 44703151 44703983 833 "*" 0.655603212840045 "X80" "ENSG00000189037" 44703249 44704130 882 "+" 0 "overlapStart" 0 "DUSP21"
"chrX" 16964341 16964965 625 "*" 0.536142235019662 "X81" "ENSG00000169891" 16964814 17171395 206582 "+" 0 "overlapStart" 0 "REPS2"
"chrX" 71458680 71459274 595 "*" 0.531965174420719 "X82" "ENSG00000186871" 71424510 71458897 34388 "-" 0 "overlapStart" 0 "ERCC6L"
"chrX" 101410339 101411275 937 "*" 0.529924092093946 "X83" "ENSG00000184515" 101408680 101411029 2350 "-" 0 "overlapStart" 0 "BEX5"
"chrX" 147062547 147063165 619 "*" 0.644630633088104 "X84" "ENSG00000176988" 147062849 147108187 45339 "+" 0 "overlapStart" 0 "FMR1NB"
"chrX" 48900769 48901652 884 "*" 0.525092505511153 "X85" "ENSG00000068323" 48886242 48901012 14771 "-" 0 "overlapStart" 0 "TFE3"
"chrX" 24482846 24483478 633 "*" 0.524916919532077 "X86" "ENSG00000067992" 24483338 24557954 74617 "+" 0 "overlapStart" 0 "PDK3"
"chrX" 49056505 49057013 509 "*" 0.524335709696157 "X87" "ENSG00000237341" 49055425 49058913 3489 "+" 0 "inside" 1079 "SYP-AS1"
"chrX" 49056505 49057013 509 "*" 0.524335709696157 "X87" "ENSG00000102003" 49044269 49056718 12450 "-" 0 "overlapStart" 0 "SYP"
"chrX" 73833865 73834821 957 "*" 0.52423959156333 "X88" "ENSG00000131263" 73805052 73834452 29401 "-" 0 "overlapStart" 0 "RLIM"
"chrX" 49018789 49019190 402 "*" 0.640444747158933 "X89" "ENSG00000017621" 49019061 49024822 5762 "+" 0 "overlapStart" 0 "MAGIX"
"chrX" 68835489 68836202 714 "*" 0.523684842190406 "X90" "ENSG00000158813" 68835911 69259319 423409 "+" 0 "overlapStart" 0 "EDA"
"chrX" 14891001 14891763 763 "*" 0.523469525676878 "X91" "LRG_496" 14861529 14891184 29656 "-" 0 "overlapStart" 0 "LRG_496"
"chrX" 14891001 14891763 763 "*" 0.523469525676878 "X91" "ENSG00000181544" 14861529 14891191 29663 "-" 0 "overlapStart" 0 "FANCB"
"chrX" 14891001 14891763 763 "*" 0.523469525676878 "X91" "ENSG00000130150" 14891563 14940449 48887 "+" 0 "overlapStart" 0 "MOSPD2"
"chrX" 67718299 67719066 768 "*" 0.522603283377427 "X93" "ENSG00000181704" 67718165 67757127 38963 "+" 0 "inside" 133 "YIPF6"
"chrX" 118925442 118926253 812 "*" 0.522579160937551 "X94" "ENSG00000198918" 118920467 118925606 5140 "-" 0 "overlapStart" 0 "RPL39"
"chrX" 118925442 118926253 812 "*" 0.522579160937551 "X94" "ENSG00000206622" 118921316 118921447 132 "-" 3994 "upstream" 3994 "SNORA69"
"chrX" 119763444 119764469 1026 "*" 0.522332039314939 "X95" "ENSG00000171155" 119759648 119764005 4358 "-" 0 "overlapStart" 0 "C1GALT1C1"
"chrX" 134186198 134186640 443 "*" 0.522195258094858 "X96" "ENSG00000203950" 134184962 134186226 1265 "-" 0 "overlapStart" 0 "FAM127B"
"chrX" 153626255 153626979 725 "*" 0.52158023651739 "X97" "ENSG00000207165" 153628622 153628756 135 "+" 1642 "upstream" 1642 "SNORA70"
"chrX" 117479353 117480246 894 "*" 0.521046106777072 "X98" "ENSG00000131725" 117480036 117583924 103889 "+" 0 "overlapStart" 0 "WDR44"
"chrX" 135067201 135068018 818 "*" 0.5209669052186 "X99" "ENSG00000198689" 135067598 135129423 61826 "+" 0 "overlapStart" 0 "SLC9A6"
"chrX" 153059760 153060546 787 "*" 0.52090824814409 "X101" "ENSG00000180879" 153058971 153063960 4990 "+" 0 "inside" 788 "SSR4"
"chrX" 153059760 153060546 787 "*" 0.52090824814409 "X101" "ENSG00000067829" 153051221 153059978 8758 "-" 0 "overlapStart" 0 "IDH3G"
"chrX" 54466428 54467052 625 "*" 0.520779771935072 "X102" "ENSG00000158526" 54466834 54471920 5087 "+" 0 "overlapStart" 0 "TSR2"
"chrX" 69352975 69353974 1000 "*" 0.520741843221875 "X103" "ENSG00000235382" 69344822 69348921 4100 "-" 4053 "upstream" 4053 "MTND4P31"
"chrX" 69352975 69353974 1000 "*" 0.520741843221875 "X103" "ENSG00000089289" 69353299 69386174 32876 "+" 0 "overlapStart" 0 "IGBP1"
"chrX" 15511430 15511773 344 "*" 0.52036849167636 "X104" "ENSG00000087842" 15402921 15511687 108767 "-" 0 "overlapStart" 0 "PIR"
"chrX" 48432279 48433316 1038 "*" 0.51900775984428 "X105" "ENSG00000102317" 48432837 48437454 4618 "+" 0 "overlapStart" 0 "RBM3"
"chrX" 48432279 48433316 1038 "*" 0.51900775984428 "X105" "ENSG00000204620" 48431482 48433275 1794 "-" 0 "overlapStart" 0 "AC115618.1"
"chrX" 72782624 72783579 956 "*" 0.518692580252747 "X106" "ENSG00000269904" 72744111 72782921 38811 "-" 0 "overlapStart" 0 "MAP2K4P1"
"chrX" 72782624 72783579 956 "*" 0.518692580252747 "X106" "ENSG00000204116" 72783036 72906937 123902 "+" 0 "overlapStart" 0 "CHIC1"
"chrX" 107334429 107335227 799 "*" 0.517563459585308 "X107" "ENSG00000101843" 107327437 107334848 7412 "-" 0 "overlapStart" 0 "PSMD10"
"chrX" 107334429 107335227 799 "*" 0.517563459585308 "X107" "ENSG00000101844" 107334898 107397901 63004 "+" 0 "overlapStart" 0 "ATG4A"
"chrX" 48858587 48858921 335 "*" 0.517520582203228 "X108" "ENSG00000068400" 48830134 48858675 28542 "-" 0 "overlapStart" 0 "GRIPAP1"
"chrX" 77150966 77151316 351 "*" 0.517309594446125 "X109" "LRG_353" 77081861 77151065 69205 "-" 0 "overlapStart" 0 "LRG_353"
"chrX" 77150966 77151316 351 "*" 0.517309594446125 "X109" "ENSG00000102158" 77081861 77151090 69230 "-" 0 "overlapStart" 0 "MAGT1"
"chrX" 77150966 77151316 351 "*" 0.517309594446125 "X109" "ENSG00000131174" 77154935 77162870 7936 "+" 3618 "upstream" 3618 "COX7B"
"chrX" 100645695 100646162 468 "*" 0.516268912008001 "X110" "ENSG00000010671" 100604435 100641183 36749 "-" 4511 "upstream" 4511 "BTK"
"chrX" 100645695 100646162 468 "*" 0.516268912008001 "X110" "LRG_128" 100604435 100641212 36778 "-" 4482 "upstream" 4482 "LRG_128"
"chrX" 100645695 100646162 468 "*" 0.516268912008001 "X110" "ENSG00000241343" 100645812 100651105 5294 "+" 0 "overlapStart" 0 "RPL36A"
"chrX" 100645695 100646162 468 "*" 0.516268912008001 "X110" "ENSG00000257529" 100645999 100667285 21287 "+" 0 "overlapStart" 0 "RPL36A-HNRNPH2"
"chrX" 47862977 47863707 731 "*" 0.516261427083477 "X111" "ENSG00000147118" 47834250 47863377 29128 "-" 0 "overlapStart" 0 "ZNF182"
"chrX" 47862977 47863707 731 "*" 0.516261427083477 "X111" "ENSG00000171489" 47863734 47869126 5393 "+" 26 "upstream" 26 "SPACA5"
"chrX" 13752442 13753119 678 "*" 0.515214615331545 "X112" "ENSG00000196459" 13730363 13752754 22392 "-" 0 "overlapStart" 0 "TRAPPC2"
"chrX" 13752442 13753119 678 "*" 0.515214615331545 "X112" "ENSG00000046651" 13752832 13787480 34649 "+" 0 "overlapStart" 0 "OFD1"
"chrX" 100074813 100075588 776 "*" 0.512754898325221 "X113" "ENSG00000101811" 100075384 100095921 20538 "+" 0 "overlapStart" 0 "CSTF2"
"chrX" 100662775 100663213 439 "*" 0.511670667755748 "X114" "ENSG00000102393" 100652791 100662913 10123 "-" 0 "overlapStart" 0 "GLA"
"chrX" 100662775 100663213 439 "*" 0.511670667755748 "X114" "ENSG00000126945" 100663283 100669121 5839 "+" 69 "upstream" 69 "HNRNPH2"
"chrX" 30233227 30233762 536 "*" 0.624780084422515 "X115" "ENSG00000099399" 30233677 30238206 4530 "+" 0 "overlapStart" 0 "MAGEB2"
"chrX" 69281860 69282357 498 "*" 0.622905765562652 "X116" "ENSG00000189401" 69282341 69284029 1689 "+" 0 "overlapStart" 0 "OTUD6A"
"chrX" 119378521 119379337 817 "*" 0.558140835367481 "X117" "ENSG00000233382" 119254863 119379122 124260 "-" 0 "overlapStart" 0 "NKAPP1"
"chrX" 92928508 92929190 683 "*" 0.507155870579104 "X118" "ENSG00000179083" 92929012 92967273 38262 "+" 0 "overlapStart" 0 "FAM133A"
"chrX" 92928508 92929190 683 "*" 0.507155870579104 "X118" "ENSG00000186310" 92925929 92928567 2639 "-" 0 "overlapStart" 0 "NAP1L3"
"chrX" 43741310 43741945 636 "*" 0.556551233247258 "X119" "ENSG00000069535" 43625858 43741693 115836 "-" 0 "overlapStart" 0 "MAOB"
"chrX" 67867130 67867718 589 "*" 0.554722204162765 "X120" "ENSG00000130052" 67867508 67945684 78177 "+" 0 "overlapStart" 0 "STARD8"
"chrX" 67867130 67867718 589 "*" 0.554722204162765 "X120" "ENSG00000234463" 67865168 67865369 202 "-" 1760 "upstream" 1760 "COX6CP12"
"chrX" 79590789 79591129 341 "*" 0.553324746926632 "X121" "ENSG00000174016" 79591003 79700810 109808 "+" 0 "overlapStart" 0 "FAM46D"
"chrX" 151806225 151806923 699 "*" 0.551974072774741 "X122" "ENSG00000147402" 151806637 151825999 19363 "+" 0 "overlapStart" 0 "GABRQ"
"chrX" 16737416 16738200 785 "*" 0.501459023760091 "X123" "ENSG00000169895" 16737755 16783459 45705 "+" 0 "overlapStart" 0 "SYAP1"
"chrX" 13671087 13671632 546 "*" 0.500616139534376 "X124" "ENSG00000176896" 13671225 13700083 28859 "+" 0 "overlapStart" 0 "TCEANC"
"chrX" 139587184 139587868 685 "*" 0.547331064134141 "X125" "ENSG00000134595" 139585152 139587225 2074 "-" 0 "overlapStart" 0 "SOX3"
"chrX" 101967017 101967643 627 "*" 0.546400855518512 "X127" "ENSG00000158301" 101967104 101973607 6504 "+" 0 "overlapStart" 0 "GPRASP2"
"chrX" 153637261 153637827 567 "*" 0.546388165298461 "X128" "ENSG00000102125" 153639854 153650065 10212 "+" 2026 "upstream" 2026 "TAZ"
"chrX" 153637261 153637827 567 "*" 0.546388165298461 "X128" "ENSG00000013563" 153629579 153640449 10871 "-" 0 "inside" 2621 "DNASE1L1"
"chrX" 119444705 119445530 826 "*" 0.542927689504253 "X129" "ENSG00000125355" 119392505 119445411 52907 "-" 0 "overlapStart" 0 "TMEM255A"
"chrY" 21728952 21729665 714 "*" 0.538568043211166 "X130" "ENSG00000131002" 21729199 21768160 38962 "+" 0 "overlapStart" 0 "TXLNG2P"
"chrX" 135333415 135334005 591 "*" 0.533412133496439 "X131" "ENSG00000129680" 135295381 135338641 43261 "-" 0 "inside" 4635 "MAP7D3"
"chrX" 47479048 47479662 615 "*" 0.531052449790184 "X132" "ENSG00000008056" 47431303 47479252 47950 "-" 0 "overlapStart" 0 "SYN1"
"chrX" 153979233 153979792 560 "*" 0.530997323471682 "X133" "ENSG00000160219" 153903529 153979858 76330 "-" 0 "inside" 65 "GAB3"
"chrX" 49027884 49028299 416 "*" 0.529758067112357 "X134" "ENSG00000102007" 49028273 49031588 3316 "+" 0 "overlapStart" 0 "PLP2"
"chrX" 101905837 101906537 701 "*" 0.588592993819676 "X135" "ENSG00000198932" 101906294 101914011 7718 "+" 0 "overlapStart" 0 "GPRASP1"
"chrX" 49687028 49687331 304 "*" 0.529539838162421 "X136" "ENSG00000171365" 49687225 49863892 176668 "+" 0 "overlapStart" 0 "CLCN5"
"chrX" 153990478 153991165 688 "*" 0.526538886914691 "X137" "ENSG00000130826" 153991031 154005964 14934 "+" 0 "overlapStart" 0 "DKC1"
"chrX" 153990478 153991165 688 "*" 0.526538886914691 "X137" "LRG_55" 153991031 154005964 14934 "+" 0 "overlapStart" 0 "LRG_55"
